Provinsi,Kabupaten,Kecamatan,Perkiraan Panen Bulan September,Perkiraan Panen Bulan Oktober,Alsintan September,Alsintan Oktober,Bera,Penggenangan,Tanam (1-15 Hst),Vegetatif 1 (16-30 Hst),Vegetatif 2 (31-40 Hst),Max Vegetatif (41-54 Hst),Generatif 1 (55-71 Hst),Generatif 2 (72-110 Hst),Panen,Standing Crop,Luas Baku Sawah (Ha)
Sulawesi Tenggara,Muna,Batalaiworu,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Sulawesi Tenggara,Muna,Batukara,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Sulawesi Tenggara,Muna,Bone,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Sulawesi Tenggara,Muna,Duruka,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Sulawesi Tenggara,Muna,Kabangka,3.0,17.0,1.0,1.0,18,5,5.0,6.0,2.0,2.0,15.0,4.0,11,34,68.0
Sulawesi Tenggara,Muna,Kabawo,2.0,17.0,1.0,1.0,22,4,3.0,1.0,5.0,8.0,12.0,2.0,17,31,75.0
Sulawesi Tenggara,Muna,Katobu,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Sulawesi Tenggara,Muna,Kontukowuna,1.0,3.0,1.0,1.0,14,1,3.0,18.0,7.0,3.0,1.0,1.0,2,33,50.0
Sulawesi Tenggara,Muna,Kontunaga,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Sulawesi Tenggara,Muna,Lasalepa,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Sulawesi Tenggara,Muna,Lohia,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Sulawesi Tenggara,Muna,Maligano,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Sulawesi Tenggara,Muna,Marobo,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Sulawesi Tenggara,Muna,Napabalano,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
