Provinsi,Kabupaten,Kecamatan,Perkiraan Panen Bulan September,Perkiraan Panen Bulan Oktober,Alsintan September,Alsintan Oktober,Bera,Penggenangan,Tanam (1-15 Hst),Vegetatif 1 (16-30 Hst),Vegetatif 2 (31-40 Hst),Max Vegetatif (41-54 Hst),Generatif 1 (55-71 Hst),Generatif 2 (72-110 Hst),Panen,Standing Crop,Luas Baku Sawah (Ha)
Aceh,Aceh Barat,Woyla Timur,58.0,157.0,1.0,2.0,112,13,30.0,49.0,39.0,94.0,58.0,47,20,317,466
Aceh,Aceh Barat Daya,,348.0,2034.0,11.0,28.0,1589,282,483.0,400.0,506.0,1372.0,380.0,243,2800,3384,8345
Aceh,Aceh Barat Daya,Babah Rot,126.0,290.0,2.0,4.0,167,152,151.0,139.0,134.0,108.0,116.0,113,119,761,1209
Aceh,Aceh Barat Daya,Blang Pidie,6.0,69.0,1.0,1.0,92,5,5.0,4.0,5.0,60.0,9.0,1,479,84,672
Aceh,Aceh Barat Daya,Jeumpa,14.0,281.0,1.0,4.0,149,13,28.0,21.0,32.0,241.0,19.0,6,328,347,851
Aceh,Aceh Barat Daya,Kuala Batee,102.0,632.0,2.0,8.0,126,76,237.0,90.0,183.0,392.0,138.0,40,192,1080,1487
Aceh,Aceh Barat Daya,Lembah Sabil,28.0,320.0,1.0,4.0,47,3,9.0,41.0,26.0,283.0,26.0,24,76,409,542
Aceh,Aceh Barat Daya,Manggeng,44.0,213.0,1.0,3.0,190,12,24.0,76.0,66.0,133.0,35.0,45,276,379,955
Aceh,Aceh Barat Daya,Setia,7.0,44.0,1.0,1.0,268,5,6.0,5.0,7.0,33.0,10.0,2,331,63,685
Aceh,Aceh Barat Daya,Susoh,4.0,44.0,1.0,1.0,137,7,10.0,5.0,9.0,33.0,5.0,3,509,65,731
Aceh,Aceh Barat Daya,Tangantangan,18.0,142.0,1.0,2.0,413,9,13.0,19.0,44.0,89.0,22.0,9,490,196,1213
Aceh,Aceh Besar,,2381.0,6157.0,38.0,80.0,7067,1199,1375.0,2594.0,2068.0,3252.0,2032.0,2313,3903,13634,25887
Aceh,Aceh Besar,Baitussalam,7.0,50.0,1.0,1.0,70,15,9.0,11.0,19.0,29.0,6.0,6,50,80,218
Aceh,Aceh Besar,Blang Bintang,103.0,310.0,2.0,4.0,236,14,26.0,136.0,158.0,135.0,42.0,153,261,650,1164
Aceh,Aceh Besar,Darul Imarah,57.0,170.0,1.0,2.0,117,41,37.0,73.0,50.0,101.0,47.0,57,149,365,677
Aceh,Aceh Besar,Darul Kamal,86.0,137.0,1.0,2.0,80,7,26.0,126.0,42.0,77.0,44.0,118,53,433,574
Aceh,Aceh Besar,Darussalam,50.0,289.0,1.0,4.0,254,32,27.0,88.0,69.0,201.0,46.0,45,131,476,898
Aceh,Aceh Besar,Indrapuri,303.0,894.0,4.0,10.0,533,91,152.0,554.0,378.0,435.0,197.0,365,326,2081,3031
Aceh,Aceh Besar,Ingin Jaya,161.0,326.0,2.0,4.0,128,29,68.0,197.0,117.0,172.0,89.0,211,197,854,1212
Aceh,Aceh Besar,Kota Jantho,144.0,272.0,2.0,4.0,457,102,104.0,33.0,56.0,157.0,144.0,115,52,609,1222
Aceh,Aceh Besar,Krueng Barona Jaya,9.0,41.0,1.0,1.0,47,7,6.0,15.0,6.0,32.0,8.0,8,36,75,168
Aceh,Aceh Besar,Kuta Baro,243.0,660.0,3.0,8.0,469,66,54.0,163.0,203.0,375.0,200.0,244,286,1239,2078
Aceh,Aceh Besar,Kuta Cot Glie,206.0,523.0,3.0,6.0,1223,103,150.0,185.0,275.0,180.0,164.0,213,403,1167,2897
Aceh,Aceh Besar,Kuta Malaka,20.0,79.0,1.0,1.0,210,14,39.0,38.0,40.0,34.0,13.0,24,185,188,597
Aceh,Aceh Besar,Lembah Seulawah,61.0,81.0,1.0,1.0,242,79,98.0,46.0,11.0,44.0,63.0,47,81,309,712
Aceh,Aceh Besar,Leupung,51.0,45.0,1.0,1.0,36,4,4.0,7.0,3.0,24.0,43.0,50,105,131,277
Aceh,Aceh Besar,Lhoknga,99.0,203.0,2.0,3.0,198,29,39.0,54.0,57.0,108.0,93.0,87,195,438,862
Aceh,Aceh Besar,Lhoong,54.0,192.0,1.0,3.0,331,44,35.0,33.0,33.0,129.0,74.0,21,111,325,811
Aceh,Aceh Besar,Mesjid Raya,0.0,4.0,0.0,1.0,14,4,2.0,1.0,3.0,1.0,0.0,0,3,7,28
Aceh,Aceh Besar,Montasik,104.0,401.0,2.0,5.0,588,73,99.0,480.0,259.0,128.0,35.0,163,281,1164,2106
Aceh,Aceh Besar,Peukan Bada,57.0,90.0,1.0,2.0,108,14,31.0,42.0,25.0,42.0,57.0,46,177,243,545
Aceh,Aceh Besar,Pulo Aceh,46.0,72.0,1.0,1.0,85,4,5.0,5.0,2.0,51.0,46.0,36,63,145,297
Aceh,Aceh Besar,Seulimeum,410.0,575.0,5.0,7.0,1105,396,320.0,184.0,191.0,179.0,498.0,229,344,1601,3478
Aceh,Aceh Besar,Simpang Tiga,53.0,310.0,1.0,4.0,164,5,24.0,69.0,24.0,262.0,58.0,36,166,473,808
Aceh,Aceh Besar,Suka Makmur,58.0,430.0,1.0,5.0,372,26,20.0,54.0,47.0,356.0,65.0,39,248,581,1227
Aceh,Aceh Jaya,,853.0,1940.0,15.0,26.0,2718,420,642.0,413.0,514.0,1078.0,845.0,694,1565,4186,8946
Aceh,Aceh Jaya,Darul Hikmah,36.0,86.0,1.0,1.0,216,23,46.0,32.0,38.0,37.0,26.0,41,62,220,523
Aceh,Aceh Jaya,Indra Jaya,58.0,152.0,1.0,2.0,97,49,25.0,18.0,5.0,120.0,66.0,37,204,271,621
Aceh,Aceh Jaya,Jaya,191.0,371.0,3.0,5.0,307,109,90.0,43.0,45.0,257.0,168.0,179,347,782,1548
Aceh,Aceh Jaya,Krueng Sabee,98.0,260.0,2.0,3.0,456,47,102.0,63.0,89.0,125.0,111.0,63,159,553,1224
Aceh,Aceh Jaya,Panga,116.0,232.0,2.0,3.0,174,17,49.0,30.0,55.0,132.0,110.0,100,49,476,722
Aceh,Aceh Jaya,Pasie Raya,101.0,218.0,2.0,3.0,293,19,58.0,52.0,66.0,112.0,98.0,85,122,471,913
Aceh,Aceh Jaya,Sampoiniet,62.0,119.0,1.0,2.0,287,58,79.0,47.0,47.0,47.0,61.0,50,251,331,936
Aceh,Aceh Jaya,Setia Bakti,72.0,187.0,1.0,3.0,457,49,97.0,57.0,79.0,73.0,84.0,45,161,435,1108
Aceh,Aceh Jaya,Teunom,119.0,315.0,2.0,4.0,431,49,96.0,71.0,90.0,175.0,121.0,94,210,647,1351
Aceh,Aceh Selatan,,427.0,1539.0,15.0,25.0,2261,415,777.0,430.0,524.0,810.0,497.0,263,1360,3301,7495
Aceh,Aceh Selatan,Bakongan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Aceh,Aceh Selatan,Bakongan Timur,14.0,52.0,1.0,1.0,60,4,22.0,7.0,17.0,29.0,15.0,10,41,100,208
Aceh,Aceh Selatan,Kluet Selatan,68.0,284.0,1.0,4.0,247,32,32.0,34.0,64.0,187.0,80.0,40,309,437,1080
Aceh,Aceh Selatan,Kluet Tengah,4.0,16.0,1.0,1.0,109,18,78.0,62.0,8.0,6.0,5.0,2,29,161,331
Aceh,Aceh Selatan,Kluet Timur,88.0,211.0,1.0,3.0,311,22,155.0,36.0,55.0,122.0,82.0,78,218,528,1098
Aceh,Aceh Selatan,Kluet Utara,81.0,302.0,1.0,4.0,575,136,155.0,93.0,88.0,165.0,120.0,21,275,642,1651
Aceh,Aceh Selatan,Kota Bahagia,46.0,83.0,1.0,1.0,123,6,30.0,26.0,20.0,37.0,63.0,18,80,194,406
Aceh,Aceh Selatan,Labuhan Haji,3.0,67.0,1.0,1.0,104,10,9.0,12.0,55.0,11.0,3.0,2,8,92,223
Aceh,Aceh Selatan,Labuhan Haji Barat,30.0,84.0,1.0,1.0,134,18,20.0,34.0,39.0,35.0,24.0,31,175,183,518
Aceh,Aceh Selatan,Labuhan Haji Timur,7.0,85.0,1.0,1.0,28,10,20.0,39.0,38.0,44.0,7.0,5,22,153,220
Aceh,Aceh Selatan,Meukek,10.0,104.0,1.0,2.0,145,35,59.0,18.0,47.0,52.0,12.0,5,18,193,397
Aceh,Aceh Selatan,Pasie Raja,44.0,169.0,1.0,2.0,172,44,121.0,37.0,65.0,81.0,55.0,23,130,382,736
Aceh,Aceh Selatan,Sama Dua,9.0,46.0,1.0,1.0,93,27,13.0,8.0,16.0,27.0,8.0,9,23,81,224
Aceh,Aceh Selatan,Sawang,9.0,21.0,1.0,1.0,115,50,48.0,16.0,7.0,9.0,11.0,5,13,96,277
Aceh,Aceh Selatan,Tapak Tuan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Aceh,Aceh Selatan,Trumon,4.0,3.0,1.0,1.0,10,0,2.0,3.0,1.0,1.0,2.0,6,3,15,28
Aceh,Aceh Selatan,Trumon Tengah,10.0,12.0,1.0,1.0,35,3,13.0,5.0,4.0,4.0,10.0,8,16,44,98
Aceh,Aceh Selatan,Trumon Timur,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Aceh,Aceh Singkil,,117.0,245.0,9.0,9.0,392,34,34.0,60.0,99.0,87.0,143.0,65,157,488,1080
Aceh,Aceh Singkil,Danau Paris,31.0,39.0,1.0,1.0,70,16,8.0,6.0,9.0,17.0,31.0,25,41,96,224
Aceh,Aceh Singkil,Gunung Meriah,14.0,36.0,1.0,1.0,54,1,3.0,11.0,16.0,13.0,16.0,9,9,68,134
Aceh,Aceh Singkil,Kota Baharu,16.0,58.0,1.0,1.0,68,0,5.0,23.0,37.0,12.0,22.0,5,35,104,212
Aceh,Aceh Singkil,Kuala Baru,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Aceh,Aceh Singkil,Pulau Banyak,4.0,5.0,1.0,1.0,11,5,0.0,0.0,2.0,1.0,6.0,0,1,9,26
Aceh,Aceh Singkil,Pulau Banyak Barat,3.0,3.0,1.0,1.0,1,0,0.0,0.0,0.0,1.0,5.0,0,1,6,8
Aceh,Aceh Singkil,Simpang Kanan,13.0,36.0,1.0,1.0,71,5,8.0,9.0,11.0,18.0,17.0,6,22,69,168
Aceh,Aceh Singkil,Singkil,5.0,15.0,1.0,1.0,26,1,1.0,3.0,8.0,5.0,6.0,3,4,26,57
Aceh,Aceh Singkil,Singkil Utara,3.0,8.0,1.0,1.0,20,2,2.0,0.0,1.0,6.0,3.0,3,15,15,52
Aceh,Aceh Singkil,Singkohor,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Aceh,Aceh Singkil,Suro,29.0,44.0,1.0,1.0,71,4,7.0,8.0,15.0,14.0,37.0,14,29,95,199
Aceh,Aceh Tamiang,,1058.0,2072.0,20.0,29.0,2469,707,553.0,671.0,555.0,1099.0,1015.0,899,1352,4792,9405
Aceh,Aceh Tamiang,Banda Mulia,108.0,186.0,2.0,3.0,236,141,87.0,67.0,33.0,109.0,107.0,88,234,491,1110
Aceh,Aceh Tamiang,Bandar Pusaka,21.0,62.0,1.0,1.0,95,10,13.0,20.0,19.0,36.0,16.0,22,66,126,301
Aceh,Aceh Tamiang,Bendahara,188.0,435.0,3.0,5.0,423,129,133.0,107.0,105.0,245.0,206.0,131,173,927,1666
Aceh,Aceh Tamiang,Karang Baru,102.0,191.0,2.0,3.0,333,43,58.0,141.0,64.0,91.0,88.0,97,147,539,1071
Aceh,Aceh Tamiang,Kejuruan Muda,40.0,100.0,1.0,2.0,151,25,11.0,16.0,35.0,46.0,45.0,26,22,179,379
Aceh,Aceh Tamiang,Kota Kuala Simpang,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Aceh,Aceh Tamiang,Manyak Payed,393.0,494.0,5.0,6.0,513,235,107.0,177.0,90.0,258.0,354.0,360,393,1346,2515
Aceh,Aceh Tamiang,Rantau,47.0,164.0,1.0,2.0,181,17,24.0,38.0,49.0,93.0,54.0,30,105,288,598
Aceh,Aceh Tamiang,Sekerak,11.0,11.0,1.0,1.0,32,4,4.0,3.0,2.0,6.0,8.0,12,16,35,87
Aceh,Aceh Tamiang,Seruway,94.0,241.0,2.0,3.0,300,74,103.0,74.0,93.0,113.0,85.0,85,104,553,1040
Aceh,Aceh Tamiang,Tamiang Hulu,13.0,50.0,1.0,1.0,59,13,1.0,5.0,12.0,33.0,13.0,11,21,75,170
Aceh,Aceh Tamiang,Tenggulun,42.0,138.0,1.0,2.0,146,16,12.0,23.0,53.0,69.0,39.0,37,71,233,468
Aceh,Aceh Tengah,,227.0,908.0,12.0,19.0,1267,320,634.0,380.0,308.0,476.0,301.0,97,315,2196,4123
Aceh,Aceh Tengah,Atu Lintang,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Aceh,Aceh Tengah,Bebesen,4.0,13.0,1.0,1.0,19,6,20.0,7.0,5.0,6.0,5.0,2,3,45,73
Aceh,Aceh Tengah,Bies,2.0,2.0,1.0,1.0,6,3,2.0,1.0,0.0,1.0,2.0,1,2,7,18
Aceh,Aceh Tengah,Bintang,42.0,124.0,1.0,2.0,103,37,93.0,66.0,34.0,69.0,51.0,24,28,337,505
Aceh,Aceh Tengah,Celala,20.0,183.0,1.0,3.0,104,44,106.0,62.0,62.0,109.0,30.0,5,19,374,551
Aceh,Aceh Tengah,Jagong Jeget,8.0,6.0,1.0,1.0,15,3,1.0,0.0,0.0,2.0,10.0,4,9,17,44
Aceh,Aceh Tengah,Kebayakan,8.0,29.0,1.0,1.0,55,19,27.0,9.0,12.0,13.0,10.0,4,6,75,155
Aceh,Aceh Tengah,Ketol,5.0,35.0,1.0,1.0,116,13,16.0,7.0,11.0,22.0,6.0,2,144,64,339
Aceh,Aceh Tengah,Kute Panang,0.0,1.0,0.0,1.0,2,0,1.0,0.0,0.0,1.0,0.0,0,1,2,5
Aceh,Aceh Tengah,Linge,26.0,101.0,1.0,2.0,253,57,119.0,45.0,34.0,54.0,31.0,15,27,298,644
Aceh,Aceh Tengah,Lut Tawar,24.0,88.0,1.0,1.0,48,39,69.0,40.0,26.0,50.0,29.0,13,10,227,325
Aceh,Aceh Tengah,Pegasing,79.0,222.0,1.0,3.0,340,71,116.0,73.0,54.0,119.0,118.0,19,35,499,947
Aceh,Aceh Tengah,Rusip Antara,1.0,59.0,1.0,1.0,9,0,10.0,41.0,52.0,7.0,1.0,1,1,112,122
Aceh,Aceh Tengah,Silih Nara,8.0,44.0,1.0,1.0,196,28,54.0,29.0,18.0,23.0,8.0,7,30,139,394
Aceh,Aceh Tenggara,,1046.0,1803.0,19.0,27.0,2591,760,616.0,544.0,646.0,711.0,1083.0,798,892,4398,8722
Aceh,Aceh Tenggara,Babul Makmur,79.0,122.0,1.0,2.0,228,85,65.0,22.0,25.0,62.0,84.0,58,258,316,895
Aceh,Aceh Tenggara,Babul Rahmad,69.0,53.0,1.0,1.0,111,15,24.0,27.0,27.0,17.0,21.0,110,64,226,422
Aceh,Aceh Tenggara,Babussalam,52.0,60.0,1.0,1.0,73,41,19.0,17.0,20.0,17.0,55.0,39,24,167,306
Aceh,Aceh Tenggara,Badar,20.0,46.0,1.0,1.0,75,11,23.0,12.0,12.0,26.0,19.0,17,32,109,229
Aceh,Aceh Tenggara,Bambel,137.0,203.0,2.0,3.0,141,151,37.0,28.0,46.0,68.0,216.0,20,14,415,723
Aceh,Aceh Tenggara,Bukit Tusam,129.0,167.0,2.0,2.0,138,77,78.0,85.0,79.0,48.0,98.0,139,51,527,798
Aceh,Aceh Tenggara,Darul Hasanah,29.0,115.0,1.0,2.0,146,9,29.0,25.0,39.0,64.0,30.0,22,35,209,403
Aceh,Aceh Tenggara,Deleng Pokhkisen,57.0,119.0,1.0,2.0,173,80,63.0,46.0,60.0,39.0,49.0,54,26,311,592
Aceh,Aceh Tenggara,Ketambe,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Aceh,Aceh Tenggara,Lauser,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Aceh,Aceh Tenggara,Lawe Alas,162.0,267.0,2.0,3.0,190,50,44.0,43.0,68.0,133.0,160.0,132,77,580,900
Aceh,Aceh Tenggara,Lawe Bulan,17.0,135.0,1.0,2.0,320,26,27.0,54.0,87.0,39.0,21.0,10,27,238,628
Aceh,Aceh Tenggara,Lawe Sigalagala,115.0,161.0,2.0,2.0,316,69,88.0,75.0,45.0,72.0,106.0,103,173,489,1055
Aceh,Aceh Tenggara,Lawe Sumur,20.0,118.0,1.0,2.0,351,42,17.0,24.0,53.0,55.0,24.0,11,20,184,613
Aceh,Aceh Tenggara,Semadam,132.0,193.0,2.0,3.0,263,95,93.0,70.0,73.0,53.0,163.0,71,56,523,942
Aceh,Aceh Tenggara,Tanoh Alas,28.0,45.0,1.0,1.0,66,9,9.0,16.0,12.0,18.0,37.0,12,35,104,216
Aceh,Aceh Timur,,1991.0,4897.0,36.0,67.0,5827,939,1353.0,1734.0,1059.0,2895.0,2289.0,1257,2006,10587,19535
Aceh,Aceh Timur,Banda Alam,45.0,110.0,1.0,2.0,127,23,62.0,40.0,7.0,81.0,53.0,27,62,270,485
Aceh,Aceh Timur,Birem Bayeun,35.0,74.0,1.0,1.0,86,17,12.0,26.0,27.0,29.0,43.0,18,40,155,310
Aceh,Aceh Timur,Darul Aman,79.0,264.0,1.0,3.0,264,32,46.0,35.0,14.0,204.0,111.0,27,102,437,854
Aceh,Aceh Timur,Darul Falah,18.0,76.0,1.0,1.0,85,12,40.0,29.0,18.0,50.0,20.0,13,7,170,278
Aceh,Aceh Timur,Darul Ihsan,15.0,37.0,1.0,1.0,91,41,13.0,9.0,2.0,27.0,20.0,7,65,78,277
Aceh,Aceh Timur,Idi Rayeuk,37.0,115.0,1.0,2.0,147,17,25.0,14.0,15.0,79.0,50.0,15,77,198,443
Aceh,Aceh Timur,Idi Timur,22.0,44.0,1.0,1.0,58,10,6.0,5.0,3.0,29.0,28.0,11,100,82,251
Aceh,Aceh Timur,Idi Tunong,56.0,164.0,1.0,2.0,146,17,37.0,30.0,10.0,125.0,71.0,28,50,301,520
Aceh,Aceh Timur,Indra Makmur,38.0,52.0,1.0,1.0,92,14,22.0,7.0,2.0,34.0,39.0,30,48,134,288
Aceh,Aceh Timur,Julok,78.0,273.0,1.0,4.0,232,29,60.0,46.0,36.0,198.0,94.0,44,37,478,785
Aceh,Aceh Timur,Madat,291.0,855.0,4.0,10.0,371,145,194.0,181.0,209.0,485.0,391.0,119,65,1579,2187
Aceh,Aceh Timur,Nurussalam,94.0,332.0,2.0,4.0,340,21,70.0,72.0,40.0,238.0,130.0,35,108,585,1071
Aceh,Aceh Timur,Pante Bidari,193.0,363.0,3.0,5.0,554,90,119.0,116.0,70.0,213.0,194.0,153,137,865,1651
Aceh,Aceh Timur,Peudawa,87.0,178.0,1.0,2.0,130,24,21.0,19.0,16.0,114.0,117.0,36,193,323,676
Aceh,Aceh Timur,Peunaron,106.0,92.0,2.0,2.0,248,17,32.0,54.0,13.0,49.0,72.0,125,69,345,679
Aceh,Aceh Timur,Peureulak,190.0,334.0,3.0,4.0,962,127,177.0,285.0,123.0,131.0,194.0,147,263,1057,2430
Aceh,Aceh Timur,Peureulak Barat,77.0,453.0,1.0,6.0,676,53,50.0,210.0,209.0,200.0,108.0,27,128,804,1677
Aceh,Aceh Timur,Peureulak Timur,40.0,94.0,1.0,2.0,124,18,20.0,24.0,9.0,73.0,30.0,44,74,200,417
Aceh,Aceh Timur,Rantau Selamat,22.0,41.0,1.0,1.0,56,20,18.0,20.0,11.0,20.0,24.0,15,30,108,214
Aceh,Aceh Timur,Ranto Peureulak,162.0,347.0,2.0,4.0,533,61,102.0,166.0,84.0,189.0,179.0,110,128,830,1569
Aceh,Aceh Timur,Serba Jadi,18.0,42.0,1.0,1.0,75,19,46.0,145.0,16.0,18.0,19.0,13,22,257,373
Aceh,Aceh Timur,Simpang Jernih,11.0,16.0,1.0,1.0,26,3,2.0,22.0,3.0,6.0,17.0,1,2,51,82
Aceh,Aceh Timur,Simpang Ulim,224.0,383.0,3.0,5.0,240,105,137.0,102.0,83.0,202.0,237.0,164,93,925,1369
Aceh,Aceh Timur,Sungai Raya,53.0,160.0,1.0,2.0,164,24,42.0,77.0,39.0,101.0,48.0,48,106,355,649
Aceh,Aceh Utara,,4996.0,10005.0,67.0,125.0,9257,2021,4592.0,3098.0,2372.0,5225.0,5848.0,3035,2385,24170,38161
Aceh,Aceh Utara,Baktiya,684.0,1608.0,8.0,18.0,697,393,447.0,371.0,478.0,785.0,837.0,373,92,3291,4505
Aceh,Aceh Utara,Baktiya Barat,245.0,573.0,3.0,7.0,436,73,233.0,200.0,149.0,322.0,247.0,194,233,1345,2092
Aceh,Aceh Utara,Banda Baro,112.0,160.0,2.0,2.0,122,38,107.0,38.0,23.0,71.0,160.0,35,46,434,642
Aceh,Aceh Utara,Cot Girek,42.0,84.0,1.0,1.0,136,20,90.0,22.0,16.0,55.0,32.0,45,18,260,435
Aceh,Aceh Utara,Dewantara,42.0,115.0,1.0,2.0,115,40,45.0,41.0,24.0,68.0,56.0,18,57,252,468
Aceh,Aceh Utara,Geureudong Pase,13.0,28.0,1.0,1.0,26,4,20.0,51.0,6.0,14.0,19.0,3,5,113,148
Aceh,Aceh Utara,Kuta Makmur,456.0,593.0,5.0,7.0,251,41,85.0,53.0,72.0,249.0,660.0,132,33,1251,1599
Aceh,Aceh Utara,Langkahan,112.0,322.0,2.0,4.0,194,65,81.0,145.0,128.0,149.0,109.0,93,40,705,1010
Aceh,Aceh Utara,Lapang,60.0,91.0,1.0,2.0,77,1,12.0,14.0,15.0,51.0,60.0,49,99,201,378
Aceh,Aceh Utara,Lhoksukon,619.0,1204.0,7.0,14.0,933,212,786.0,365.0,232.0,771.0,489.0,647,463,3290,4917
Aceh,Aceh Utara,Matangkuli,169.0,297.0,2.0,4.0,413,23,63.0,80.0,49.0,187.0,149.0,158,100,686,1252
Aceh,Aceh Utara,Meurah Mulia,124.0,195.0,2.0,3.0,581,97,380.0,165.0,37.0,110.0,116.0,108,167,916,1772
Aceh,Aceh Utara,Muara Batu,71.0,319.0,1.0,4.0,367,44,76.0,211.0,131.0,143.0,109.0,13,46,683,1144
Aceh,Aceh Utara,Nibong,20.0,44.0,1.0,1.0,237,40,161.0,60.0,9.0,30.0,11.0,27,41,298,618
Aceh,Aceh Utara,Nisam,288.0,464.0,4.0,6.0,313,90,363.0,145.0,81.0,203.0,437.0,61,41,1290,1764
Aceh,Aceh Utara,Nisam Antara,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Aceh,Aceh Utara,Paya Bakong,72.0,285.0,1.0,4.0,515,13,120.0,85.0,25.0,230.0,73.0,57,159,590,1295
Aceh,Aceh Utara,Pirak Timu,17.0,26.0,1.0,1.0,276,68,92.0,33.0,8.0,16.0,6.0,27,74,182,600
Aceh,Aceh Utara,Samudera,91.0,233.0,1.0,3.0,384,39,79.0,39.0,40.0,149.0,106.0,56,103,469,1003
Aceh,Aceh Utara,Sawang,391.0,684.0,5.0,8.0,462,94,305.0,172.0,152.0,286.0,597.0,78,60,1590,2229
Aceh,Aceh Utara,Seunudon,224.0,495.0,3.0,6.0,415,141,146.0,164.0,134.0,239.0,297.0,97,72,1077,1723
Aceh,Aceh Utara,Simpang Keramat,163.0,152.0,2.0,2.0,43,18,21.0,13.0,20.0,36.0,232.0,52,9,374,445
Aceh,Aceh Utara,Syamtalira Aron,63.0,244.0,1.0,3.0,627,45,113.0,117.0,64.0,145.0,84.0,26,47,549,1277
Aceh,Aceh Utara,Syamtalira Bayu,153.0,185.0,2.0,3.0,402,71,147.0,83.0,33.0,96.0,135.0,144,109,638,1225
Aceh,Aceh Utara,Tanah Jambo Aye,436.0,1166.0,5.0,13.0,446,217,173.0,288.0,384.0,546.0,573.0,193,64,2157,2955
Aceh,Aceh Utara,Tanah Luas,302.0,362.0,4.0,5.0,578,120,418.0,132.0,44.0,223.0,230.0,326,147,1373,2222
Aceh,Aceh Utara,Tanah Pasir,26.0,79.0,1.0,1.0,211,14,29.0,11.0,18.0,51.0,24.0,23,60,156,443
Aceh,Banda Aceh,,3.0,11.0,3.0,4.0,16,4,3.0,4.0,3.0,7.0,3.0,3,16,23,59
Aceh,Banda Aceh,Baiturrahman,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Aceh,Banda Aceh,Banda Raya,1.0,3.0,1.0,1.0,4,1,2.0,3.0,1.0,2.0,1.0,1,7,10,22
Aceh,Banda Aceh,Jaya Baru,1.0,0.0,1.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,1,2,1,4
Aceh,Banda Aceh,Kuta Alam,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Aceh,Banda Aceh,Kuta Raja,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
