Provinsi,Kabupaten,Kecamatan,Perkiraan Panen Bulan September,Perkiraan Panen Bulan Oktober,Alsintan September,Alsintan Oktober,Bera,Penggenangan,Tanam (1-15 Hst),Vegetatif 1 (16-30 Hst),Vegetatif 2 (31-40 Hst),Max Vegetatif (41-54 Hst),Generatif 1 (55-71 Hst),Generatif 2 (72-110 Hst),Panen,Standing Crop,Luas Baku Sawah (Ha)
Aceh,,,21780.0,57511.0,399.0,782.0,52489,11399,19147.0,16751.0,15346.0,32078.0,24496.0,14373,26714,122191,214684
Aceh,,,21780.0,57511.0,399.0,782.0,52489,11399,19147,16751,15346,32078,24496,14373,26714,122191,214684
Aceh,Aceh Barat,,702.0,3547.0,14.0,44.0,1930,124,1202.0,1580.0,1423.0,1769.0,861.0,381,864,7216,10213
Aceh,Aceh Barat,Arongan Lambalek,71.0,364.0,1.0,5.0,256,21,139.0,181.0,147.0,185.0,77.0,51,126,780,1187
Aceh,Aceh Barat,Bubon,66.0,245.0,1.0,3.0,102,9,94.0,126.0,115.0,98.0,77.0,40,71,550,735
Aceh,Aceh Barat,Johan Pahlawan,16.0,72.0,1.0,1.0,82,3,34.0,93.0,26.0,39.0,18.0,11,42,221,362
Aceh,Aceh Barat,Kaway Xvi,158.0,716.0,2.0,8.0,335,8,353.0,337.0,276.0,349.0,222.0,54,256,1591,2194
Aceh,Aceh Barat,Meureubo,25.0,210.0,1.0,3.0,104,5,54.0,45.0,47.0,150.0,32.0,13,70,341,524
Aceh,Aceh Barat,Pantai Ceuremen,37.0,344.0,1.0,4.0,173,5,116.0,121.0,138.0,185.0,52.0,13,75,625,883
Aceh,Aceh Barat,Panton Reu,7.0,187.0,1.0,3.0,200,4,93.0,89.0,104.0,79.0,9.0,4,34,378,621
Aceh,Aceh Barat,Samatiga,68.0,314.0,1.0,4.0,216,30,112.0,204.0,111.0,174.0,70.0,52,54,723,1032
Aceh,Aceh Barat,Sungai Mas,29.0,63.0,1.0,1.0,58,4,17.0,20.0,32.0,15.0,39.0,12,8,135,214
Aceh,Aceh Barat,Woyla,129.0,448.0,2.0,5.0,202,16,107.0,161.0,159.0,225.0,156.0,73,50,881,1164
Aceh,Aceh Barat,Woyla Barat,36.0,426.0,1.0,5.0,90,6,53.0,154.0,229.0,176.0,51.0,11,58,674,831
