Kode Provinsi,Nama Provinsi,Kode Kab,Nama Kabupaten,Luas Panen_Jan-24,Luas Panen_Feb-24,Luas Panen_Mar-24,Luas Panen_Apr-24,Luas Panen_Mei-24,Luas Panen_Jun-24,Luas Panen_Jul-24,Luas Panen_Ags-24,Luas Panen_Sep-24,Luas Panen_Okt-24,Luas Panen_Nov-24,Luas Panen_Des-24,Luas Panen_Jan-Des 2024,Luas Panen_Jan-25,Luas Panen_Feb-25,Luas Panen_Mar-25,Luas Panen_Apr-25,Luas Panen_Mei-25,Luas Panen_Jun-25,Luas Panen_Jul-25,Luas Panen_Ags-25,Luas Panen_Sep-25,Luas Panen_Okt-25,Luas Panen_Nov-25,Produksi Padi_Jan-24,Produksi Padi_Feb-24,Produksi Padi_Mar-24,Produksi Padi_Apr-24,Produksi Padi_Mei-24,Produksi Padi_Jun-24,Produksi Padi_Jul-24,Produksi Padi_Ags-24,Produksi Padi_Sep-24,Produksi Padi_Okt-24,Produksi Padi_Nov-24,Produksi Padi_Des-24,Produksi Padi_Jan-Des 2024,Produksi Padi_Jan-25,Produksi Padi_Feb-25,Produksi Padi_Mar-25,Produksi Padi_Apr-25,Produksi Padi_Mei-25,Produksi Padi_Jun-25,Produksi Padi_Jul-25,Produksi Padi_Ags-25,Produksi Padi_Sep-25,Produksi Padi_Okt-25,Produksi Padi_Nov-25,Produksi Beras_Jan-24,Produksi Beras_Feb-24,Produksi Beras_Mar-24,Produksi Beras_Apr-24,Produksi Beras_Mei-24,Produksi Beras_Jun-24,Produksi Beras_Jul-24,Produksi Beras_Ags-24,Produksi Beras_Sep-24,Produksi Beras_Okt-24,Produksi Beras_Nov-24,Produksi Beras_Des-24,Produksi Beras_Jan-Des 2024,Produksi Beras_Jan-25,Produksi Beras_Feb-25,Produksi Beras_Mar-25,Produksi Beras_Apr-25,Produksi Beras_Mei-25,Produksi Beras_Jun-25,Produksi Beras_Jul-25,Produksi Beras_Ags-25,Produksi Beras_Sep-25,Produksi Beras_Okt-25,Produksi Beras_Nov-25
72,SULAWESI TENGAH,7210,SULAWESI TENGAH - Sigi,1.313,995,2.645,1.301,864,1.612,861,1.201,2.693,1.499,1.496,1.292,17.772,795,1.759,3.713,1.549,1.569,1.450,955,1.911,3.157,2.605,1.399,6.265,4.867,12.941,6.363,4.402,7.839,4.262,6.115,11.839,6.588,6.575,5.633,83.689,3.463,7.660,16.172,6.746,6.630,5.846,3.812,8.074,15.322,12.608,6.734,3.698,2.873,7.639,3.756,2.598,4.627,2.516,3.609,6.988,3.889,3.881,3.325,49.400,2.044,4.522,9.546,3.982,3.914,3.451,2.250,4.766,9.044,7.442,3.975
72,SULAWESI TENGAH,7211,SULAWESI TENGAH - Banggai Laut,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,10,3,0,0,0,0,0,0,0,0
72,SULAWESI TENGAH,7212,SULAWESI TENGAH - Morowali Utara,37,0,0,425,710,1.307,384,0,0,1.204,1.755,1.275,7.098,336,3,0,281,1.479,1.584,148,37,141,1.293,1.509,130,0,0,1.966,2.281,4.281,1.259,0,0,5.616,8.163,5.837,29.533,1.628,15,1,1.361,6.592,6.719,631,164,666,6.069,7.060,77,0,0,1.161,1.346,2.527,743,0,0,3.315,4.819,3.446,17.433,961,9,0,803,3.891,3.966,372,97,393,3.582,4.167
72,SULAWESI TENGAH,7271,SULAWESI TENGAH - Kota Palu,26,16,15,3,15,25,3,0,11,19,25,20,177,1,4,42,3,15,3,5,53,11,11,8,131,79,73,15,64,108,13,0,51,87,119,92,831,6,22,217,17,54,12,18,195,51,52,37,77,47,43,9,38,64,8,0,30,51,70,54,491,3,13,128,10,32,7,11,115,30,31,22
73,SULAWESI SELATAN,7301,SULAWESI SELATAN - Kepulauan Selayar,0,0,22,540,694,0,22,20,184,0,0,0,1.480,0,0,15,1.364,4,0,1,231,163,50,7,0,0,96,2.388,2.306,0,72,66,1.001,0,0,0,5.930,0,0,65,6.064,17,0,2,973,877,270,38,0,0,55,1.370,1.323,0,42,38,575,0,0,0,3.403,0,0,38,3.480,10,0,1,558,503,155,22
73,SULAWESI SELATAN,7302,SULAWESI SELATAN - Bulukumba,0,0,58,5.369,14.624,1.560,0,1.995,13.564,5.390,327,199,43.088,125,224,645,11.924,5.819,376,83,6.917,8.119,3.660,1.015,0,0,313,28.822,71.765,7.633,0,9.791,69.305,27.548,1.673,1.018,217.869,698,1.250,3.524,66.486,28.895,1.865,410,34.295,40.654,18.326,5.083,0,0,180,16.539,41.181,4.380,0,5.618,39.770,15.808,960,584,125.021,400,717,2.022,38.152,16.581,1.070,235,19.680,23.329,10.516,2.917
73,SULAWESI SELATAN,7303,SULAWESI SELATAN - Bantaeng,427,179,856,298,2.886,933,286,1.011,1.371,1.976,170,34,10.428,0,17,117,1.657,2.182,1.098,30,554,2.115,1.383,419,2.144,899,4.294,1.497,11.398,3.687,1.129,3.995,7.175,10.337,887,177,47.620,0,107,723,10.249,10.916,5.492,152,2.769,10.541,6.892,2.090,1.230,516,2.464,859,6.540,2.116,648,2.292,4.117,5.931,509,102,27.326,0,61,415,5.881,6.264,3.151,87,1.589,6.049,3.955,1.199
73,SULAWESI SELATAN,7304,SULAWESI SELATAN - Jeneponto,176,29,3.166,11.996,7.312,147,809,1.623,1.390,536,346,75,27.606,177,242,8.002,14.119,2.745,255,2.271,2.451,2.263,899,436,893,149,16.051,60.820,33.006,663,3.651,7.327,5.476,2.114,1.365,297,131.810,898,1.157,40.326,71.358,13.229,1.230,10.966,11.828,8.322,3.300,1.597,512,85,9.211,34.901,18.940,380,2.095,4.204,3.142,1.213,783,170,75.637,516,664,23.141,40.948,7.591,706,6.293,6.787,4.776,1.894,916
73,SULAWESI SELATAN,7305,SULAWESI SELATAN - Takalar,89,0,5.261,10.297,178,0,1.572,8.340,0,10,920,930,27.597,9,131,8.780,6.784,30,0,2.526,8.937,4,122,979,345,0,20.370,39.400,804,0,7.117,37.756,0,52,4.859,4.908,115.610,36,519,34.830,26.953,129,0,10.986,38.877,20,647,5.181,198,0,11.689,22.609,461,0,4.084,21.666,0,30,2.788,2.816,66.341,21,298,19.987,15.466,74,0,6.304,22.309,12,371,2.973
73,SULAWESI SELATAN,7306,SULAWESI SELATAN - Gowa,411,35,5.692,10.663,4.234,3.909,5.418,7.089,2.448,1.386,4.718,3.384,49.388,537,33,6.158,12.195,2.825,5.905,5.733,8.137,1.688,2.033,4.759,1.876,159,25.983,48.629,20.680,19.091,26.462,34.618,12.785,7.246,24.668,17.683,239.879,2.480,152,28.420,56.194,13.319,27.850,27.036,38.371,8.951,10.790,25.257,1.077,91,14.910,27.905,11.867,10.955,15.185,19.865,7.337,4.158,14.155,10.147,137.652,1.423,87,16.308,32.246,7.643,15.981,15.514,22.019,5.136,6.192,14.493
